timestamp,imsi,imei,cell_id,source_number,destination_number,call_type,duration,location_area_code,signal_strength
2025-02-21 02:23:18,43492922858327,35620405877629,CELL-8476,+91851287144,+91406352454,SMS-MO,1135,458,-74
2025-02-22 19:28:09,40407504387502,35436131691223,CELL-5400,+91766154194,+91960121477,SMS-MO,1586,383,-86
2025-02-23 23:58:37,46026226962663,35686829485430,CELL-9022,+91159808113,+91114539458,MOC,432,294,-100
2025-02-23 07:59:05,42208217384914,35159528974845,CELL-8443,+91216969270,+91182333709,MOC,26,754,-66
2025-02-22 17:38:19,45447945510613,35449754394264,CELL-2993,+91152174576,+91866464005,SMS-MO,753,229,-93
2025-02-26 15:59:43,45699699108059,35363967045575,CELL-1900,+91802465414,+91216969270,SMS-MT,181,196,-65
2025-02-26 08:47:26,42208217384914,35768043899695,CELL-6015,+91497105822,+91406337455,SMS-MO,1306,430,-59
2025-02-27 01:07:45,47974704880021,35941659627979,CELL-7820,+91829311037,+91332973537,MTC,573,615,-85
2025-02-22 05:24:49,43492922858327,35698914462149,CELL-9505,+91221520617,+91324665292,SMS-MT,254,929,-79
2025-02-20 20:19:10,44535689447151,35009146024049,CELL-1900,+91323088835,+91441159533,SMS-MO,1772,699,-51
2025-02-25 18:43:10,40260079342617,35672481069401,CELL-5400,+91000639483,+91500915800,MOC,48,568,-50
2025-02-22 01:37:08,47775754486124,35075898705616,CELL-7820,+91823687975,+91312598109,SMS-MT,1154,379,-60
2025-02-26 02:40:20,42341326607568,35159528974845,CELL-0603,+91248383763,+91764668407,MOC,1748,808,-95
2025-02-21 16:30:33,40797888601616,35159528974845,CELL-5703,+91071396720,+91960121477,MOC,1209,247,-106
2025-02-22 10:12:20,46729608446575,35429865569939,CELL-9022,+91766154194,+91525175436,SMS-MT,394,170,-57
2025-02-27 03:01:55,40260079342617,35766536758776,CELL-8443,+91152174576,+91182333709,SMS-MO,539,724,-110
2025-02-24 01:55:33,41622209992543,35195732104467,CELL-2135,+91762152170,+91645737097,SMS-MT,290,808,-111
2025-02-22 10:09:02,49418986515284,35766536758776,CELL-6015,+91820233464,+91406337455,MOC,931,178,-114
2025-02-22 22:42:11,45413461777999,35229950225339,CELL-7820,+91830566338,+91733635245,MOC,1413,932,-51
2025-02-23 02:07:49,45109646756041,35449754394264,CELL-2135,+91620973976,+91818150466,MOC,682,079,-63
2025-02-24 22:31:58,44535689447151,35897916602267,CELL-5400,+91223301748,+91903672314,MOC,106,491,-83
2025-02-22 20:00:43,42730475517392,35960818474893,CELL-8443,+91866464005,+91581110915,MTC,637,979,-111
2025-02-21 13:42:33,40625297358149,35745726181835,CELL-2265,+91972127013,+91763954894,MTC,510,294,-107
2025-02-23 02:23:31,42730475517392,35063035727899,CELL-9022,+91620973976,+91572046447,SMS-MO,1595,269,-102
2025-02-21 02:31:37,47775754486124,35159528974845,CELL-6015,+91497105822,+91974180120,MOC,1290,378,-101
2025-02-22 05:02:49,43097947301588,35009146024049,CELL-6015,+91875529728,+91084829675,MTC,102,742,-101
2025-02-26 05:55:25,49477997028326,35185929962348,CELL-0603,+91903672314,+91159808113,SMS-MO,89,900,-117
2025-02-21 17:09:13,43370517990547,35737068477000,CELL-9505,+91406352454,+91400531967,MTC,862,454,-107
2025-02-25 20:16:03,47279176522856,35672481069401,CELL-1900,+91425362133,+91119441350,SMS-MT,693,328,-80
2025-02-22 12:20:45,40260079342617,35699359064818,CELL-8443,+91312598109,+91221520617,SMS-MT,291,947,-71
2025-02-27 02:40:39,48949199562446,35620405877629,CELL-5703,+91441159533,+91866464005,MOC,593,991,-100
2025-02-25 02:17:16,43370517990547,35392924712272,CELL-7820,+91427821516,+91733635245,MTC,1684,366,-82
2025-02-22 01:46:42,42792542856916,35622444991785,CELL-4969,+91818150466,+91332973537,SMS-MO,767,919,-77
2025-02-21 19:16:42,43646527883088,35990580425649,CELL-5703,+91390936670,+91017520636,MTC,1746,239,-53
2025-02-21 06:25:08,43906576784794,35990580425649,CELL-6015,+91320873131,+91597276967,MOC,21,097,-58
2025-02-25 12:49:38,49418986515284,35047264367118,CELL-6087,+91572046447,+91111111495,SMS-MT,1537,109,-95
2025-02-23 17:28:07,45484353164868,35449754394264,CELL-6087,+91615039019,+91960789737,MOC,1368,936,-101
2025-02-27 10:35:18,43480946643765,35063035727899,CELL-2993,+91390936670,+91425362133,MOC,750,927,-68
2025-02-26 10:06:57,43097947301588,35196269887070,CELL-6015,+91021998878,+91320272093,SMS-MT,1717,955,-85
2025-02-26 08:17:42,43480946643765,35204312892535,CELL-0603,+91972127013,+91390936670,MTC,726,181,-111
2025-02-26 17:04:01,44535689447151,35189314110855,CELL-2265,+91999677236,+91126903585,SMS-MO,45,524,-113
2025-02-23 05:51:13,47402004461710,35378084510368,CELL-5703,+91851287144,+91645737097,MTC,1132,467,-57
2025-02-26 07:14:24,40074538948554,35047049560139,CELL-6087,+91572046447,+91754099162,MTC,1107,575,-120
2025-02-21 21:37:11,42341326607568,35503167740277,CELL-0910,+91733635245,+91572046447,MOC,969,838,-70
2025-02-26 00:31:32,44535689447151,35449754394264,CELL-8473,+91406352454,+91320272093,SMS-MO,895,226,-111
2025-02-22 20:46:46,40074538948554,35363967045575,CELL-9505,+91221520617,+91645737097,MOC,916,339,-104
2025-02-23 06:54:20,43492922858327,35189314110855,CELL-9022,+91615039019,+91865842571,SMS-MO,1441,053,-113
2025-02-20 21:25:25,42792542856916,35689775580058,CELL-6498,+91008794831,+91820233464,SMS-MO,558,209,-66
2025-02-22 15:49:25,40260079342617,35342093986334,CELL-2135,+91021998878,+91035283888,MOC,370,497,-96
2025-02-26 01:51:43,49969962063823,35917582263426,CELL-8443,+91216969270,+91406337455,MTC,18,455,-101
2025-02-26 15:34:42,47192750430663,35897916602267,CELL-6087,+91572046447,+91960121477,MTC,1462,850,-63
2025-02-23 19:41:00,49751600792329,35047264367118,CELL-5703,+91754099162,+91097984922,MTC,294,223,-72
2025-02-25 09:26:13,43906576784794,35941659627979,CELL-4969,+91407086698,+91518887993,SMS-MO,267,331,-98
2025-02-25 14:05:45,47279176522856,35342093986334,CELL-6801,+91021998878,+91114539458,SMS-MO,257,738,-70
2025-02-22 17:38:00,40260079342617,35363967045575,CELL-8443,+91111111495,+91597276967,SMS-MO,328,642,-81
2025-02-25 18:37:34,49669489156233,35392924712272,CELL-2135,+91748220113,+91135015963,MTC,765,660,-80
2025-02-21 23:37:10,44700526054343,35291517987480,CELL-6015,+91406337455,+91550699229,SMS-MO,1502,593,-57
2025-02-20 22:13:04,49669489156233,35746010699061,CELL-2993,+91395259677,+91125708950,SMS-MT,757,436,-89
2025-02-22 18:44:50,49669489156233,35924995660755,CELL-2824,+91427821516,+91021998878,SMS-MT,1383,882,-117
2025-02-24 03:21:54,42341326607568,35196269887070,CELL-4969,+91427821516,+91620973976,MOC,61,949,-73
2025-02-22 03:02:00,41622209992543,35862639249477,CELL-2824,+91320873131,+91830566338,SMS-MT,1699,992,-60
2025-02-26 17:16:34,42730475517392,35745726181835,CELL-6015,+91829311037,+91974180120,SMS-MO,25,380,-95
2025-02-27 11:57:42,42981853422094,35466032962668,CELL-2265,+91219776541,+91305012183,SMS-MO,1369,577,-70
2025-02-26 03:53:27,48862534287472,35363967045575,CELL-0603,+91204687088,+91111111495,SMS-MT,577,199,-59
2025-02-21 12:31:51,42981853422094,35185929962348,CELL-1900,+91406337455,+91071396720,SMS-MT,705,471,-89
2025-02-24 14:11:24,42341326607568,35698914462149,CELL-9505,+91823687975,+91135015963,MTC,172,988,-107
2025-02-27 08:35:22,49751600792329,35427037363928,CELL-2993,+91126903585,+91518887993,MTC,1501,384,-92
2025-02-22 13:30:40,44535689447151,35342093986334,CELL-8476,+91829311037,+91875529728,MTC,1387,702,-52
2025-02-26 12:00:48,48862534287472,35924995660755,CELL-0910,+91830566338,+91406352454,MTC,1098,919,-110
2025-02-24 17:55:00,42730475517392,35622444991785,CELL-0910,+91245955091,+91754099162,SMS-MT,970,662,-62
2025-02-26 01:21:10,43370517990547,35698914462149,CELL-9022,+91035283888,+91442113074,MTC,275,779,-69
2025-02-23 14:59:30,46729608446575,35152691052319,CELL-8476,+91865842571,+91059130809,SMS-MO,1326,476,-87
2025-02-21 10:08:09,40454041901801,35745726181835,CELL-5400,+91202975757,+91236080921,MTC,108,241,-105
2025-02-21 23:59:25,42730475517392,35378084510368,CELL-4969,+91000639483,+91400531967,SMS-MO,1357,947,-109
2025-02-26 22:33:36,42730475517392,35363967045575,CELL-2265,+91851287144,+91304542653,MTC,1428,655,-98
2025-02-22 11:05:54,44700526054343,35745726181835,CELL-7820,+91960789737,+91114539458,SMS-MO,1670,833,-101
2025-02-21 00:42:55,42430574388965,35068288827583,CELL-8476,+91763954894,+91818150466,SMS-MT,1269,363,-78
2025-02-23 21:44:56,42341326607568,35254431142538,CELL-6015,+91245955091,+91497105822,SMS-MO,1611,972,-59
2025-02-21 02:40:36,47166881033751,35960818474893,CELL-2135,+91248383763,+91312598109,MTC,751,606,-71
2025-02-26 03:02:25,40797888601616,35047049560139,CELL-8443,+91084829675,+91169082411,SMS-MO,803,487,-59
2025-02-25 09:28:05,45484353164868,35686829485430,CELL-6801,+91654422532,+91763954894,SMS-MT,271,026,-94
2025-02-26 23:24:38,40625297358149,35254431142538,CELL-0910,+91406337455,+91500915800,MTC,1796,658,-83
2025-02-24 16:06:08,43646527883088,35961106495590,CELL-0603,+91400531967,+91764668407,MTC,438,239,-65
2025-02-27 19:41:07,42341326607568,35110485637537,CELL-0603,+91960121477,+91406337455,MTC,811,974,-86
2025-02-23 00:13:34,42341326607568,35986717339885,CELL-2265,+91169082411,+91202975757,MOC,267,497,-63
2025-02-23 02:42:19,40625297358149,35342093986334,CELL-9505,+91620973976,+91525175436,SMS-MT,1333,311,-67
2025-02-20 21:22:25,48949199562446,35392924712272,CELL-8443,+91762152170,+91820233464,MOC,1785,125,-106
2025-02-25 20:47:35,48949199562446,35698914462149,CELL-2265,+91355088242,+91008794831,SMS-MO,768,626,-78
2025-02-21 08:44:51,43648356848709,35084971376639,CELL-9505,+91764668407,+91304542653,SMS-MO,1351,615,-89
2025-02-27 01:15:16,40454041901801,35589099813502,CELL-2993,+91846209995,+91875529728,MTC,561,222,-109
2025-02-24 19:37:17,48949199562446,35254431142538,CELL-9022,+91829311037,+91219776541,SMS-MT,285,081,-72
2025-02-25 07:23:12,45413461777999,35075898705616,CELL-6087,+91390936670,+91223301748,SMS-MT,84,016,-118
2025-02-27 17:32:08,43480946643765,35672481069401,CELL-2135,+91846209995,+91204687088,SMS-MO,265,439,-105
2025-02-27 15:18:58,46729608446575,35075898705616,CELL-8476,+91117872708,+91581110915,MOC,101,129,-99
2025-02-23 00:52:10,47279176522856,35766536758776,CELL-9505,+91974180120,+91733635245,SMS-MT,1762,841,-62
2025-02-25 17:16:04,42341326607568,35378084510368,CELL-0910,+91287906366,+91250264599,SMS-MO,1036,123,-104
2025-02-25 02:41:00,45520944236450,35185929962348,CELL-6015,+91763954894,+91071396720,MOC,1528,494,-66
2025-02-25 16:44:14,47775754486124,35571011700880,CELL-8476,+91169082411,+91442113074,SMS-MT,376,307,-83
2025-02-23 22:48:48,47279176522856,35571011700880,CELL-4969,+91320272093,+91903672314,MTC,415,213,-97
2025-02-25 23:32:15,42208217384914,35897916602267,CELL-6498,+91320873131,+91332973537,MOC,665,688,-78
2025-02-27 18:39:40,48862534287472,35195732104467,CELL-8443,+91441159533,+91484526782,SMS-MO,848,397,-107
2025-02-22 13:06:50,40074538948554,35429865569939,CELL-6015,+91320873131,+91071396720,SMS-MO,1049,993,-74
2025-02-23 01:26:35,49477997028326,35466032962668,CELL-6087,+91615039019,+91645737097,SMS-MO,821,124,-120
2025-02-21 06:22:49,47192750430663,35683669826301,CELL-6015,+91645737097,+91245955091,SMS-MO,161,596,-94
2025-02-22 06:10:29,42430574388965,35986717339885,CELL-4969,+91762152170,+91960121477,MTC,816,627,-90
2025-02-22 00:31:54,45413461777999,35699359064818,CELL-6015,+91182333709,+91320272093,MOC,1547,520,-82
2025-02-27 02:55:04,46026226962663,35427037363928,CELL-4969,+91764668407,+91441159533,MOC,177,397,-97
2025-02-22 23:27:25,48862534287472,35746010699061,CELL-2265,+91818150466,+91825452989,MOC,443,077,-52
2025-02-23 23:49:40,45699699108059,35698914462149,CELL-6801,+91615039019,+91572046447,SMS-MT,879,854,-78
2025-02-24 08:28:34,44535689447151,35186649731922,CELL-2135,+91332973537,+91084829675,SMS-MT,837,026,-113
2025-02-24 01:33:37,45484353164868,35369045726119,CELL-1900,+91169082411,+91830566338,MOC,180,022,-84
2025-02-22 17:06:46,45447945510613,35195732104467,CELL-6801,+91832980052,+91152174576,SMS-MT,401,944,-58
2025-02-23 08:05:42,43480946643765,35009146024049,CELL-2824,+91405935763,+91024561784,SMS-MO,176,623,-54
2025-02-24 09:41:53,42341326607568,35363967045575,CELL-6015,+91159808113,+91653882592,SMS-MT,1321,324,-101
2025-02-27 19:37:54,40625297358149,35745726181835,CELL-2993,+91216969270,+91084829675,SMS-MO,417,259,-104
2025-02-24 15:09:44,43648356848709,35378084510368,CELL-9022,+91323088835,+91024561784,SMS-MO,834,541,-63
2025-02-24 23:47:05,40322911370852,35429865569939,CELL-4969,+91114539458,+91024561784,SMS-MO,360,798,-71
2025-02-22 16:06:04,40454041901801,35878571364417,CELL-2265,+91400531967,+91713827680,MOC,1782,717,-62
2025-02-26 04:24:51,42430574388965,35458594955062,CELL-7820,+91550699229,+91441159533,SMS-MT,379,968,-90
2025-02-22 12:59:12,43906576784794,35960818474893,CELL-6801,+91097984922,+91017520636,SMS-MT,803,388,-50
2025-02-25 16:36:35,43906576784794,35196269887070,CELL-8443,+91202975757,+91484526782,MTC,1265,073,-84
2025-02-22 02:17:03,42730475517392,35110485637537,CELL-0603,+91620973976,+91763954894,SMS-MO,293,344,-66
2025-02-21 13:03:06,45520944236450,35429865569939,CELL-0910,+91830566338,+91182333709,MOC,947,029,-79
2025-02-23 12:59:13,47166881033751,35986717339885,CELL-1900,+91597276967,+91059130809,SMS-MT,816,727,-66
2025-02-25 20:09:36,47775754486124,35768043899695,CELL-7820,+91017520636,+91250264599,MTC,1107,689,-77
2025-02-27 20:01:34,49751600792329,35924995660755,CELL-6087,+91142399368,+91024561784,MTC,363,277,-118
2025-02-23 15:27:16,45699699108059,35897916602267,CELL-0603,+91097984922,+91324665292,SMS-MT,1274,343,-118
2025-02-22 04:33:41,45520944236450,35189314110855,CELL-6087,+91972127013,+91111111495,MOC,1661,443,-86
2025-02-24 12:02:39,40407504387502,35575532594928,CELL-6498,+91142399368,+91572046447,SMS-MT,912,910,-118
2025-02-27 03:51:18,43646527883088,35503167740277,CELL-2993,+91500915800,+91406352454,SMS-MO,53,714,-105
2025-02-25 10:04:22,49751600792329,35185929962348,CELL-0910,+91142399368,+91754099162,SMS-MO,219,975,-61
2025-02-22 04:29:20,42430574388965,35186504341166,CELL-5400,+91219776541,+91355088242,SMS-MT,470,178,-64
2025-02-27 18:32:35,42792542856916,35110485637537,CELL-2135,+91152174576,+91320873131,MTC,597,516,-116
2025-02-25 19:04:45,45937717693748,35189314110855,CELL-2135,+91903672314,+91405935763,MTC,1280,086,-112
2025-02-21 22:53:54,48949199562446,35699359064818,CELL-9022,+91024561784,+91818150466,MOC,28,362,-103
2025-02-25 23:04:33,47143523149270,35746010699061,CELL-9022,+91182333709,+91135015963,SMS-MO,915,319,-97
2025-02-22 12:09:52,47166881033751,35746010699061,CELL-2265,+91829311037,+91830566338,SMS-MO,301,569,-106
2025-02-24 16:18:17,42341326607568,35186504341166,CELL-1900,+91204687088,+91114539458,SMS-MT,1658,751,-85
2025-02-22 22:21:11,40260079342617,35189314110855,CELL-6087,+91202975757,+91829311037,MOC,1770,410,-120
2025-02-20 21:23:19,45937717693748,35745726181835,CELL-4969,+91159808113,+91395259677,MOC,523,069,-107
2025-02-22 19:35:47,46600696221116,35990580425649,CELL-8473,+91400531967,+91818150466,SMS-MO,1217,680,-84
2025-02-27 15:51:38,46026226962663,35196269887070,CELL-2265,+91578391406,+91117872708,SMS-MT,668,635,-86
2025-02-24 23:04:49,45109646756041,35040248502539,CELL-0603,+91851287144,+91323088835,SMS-MO,1743,672,-111
2025-02-26 13:00:30,43097947301588,35196269887070,CELL-0603,+91441159533,+91866464005,SMS-MO,1435,478,-51
2025-02-21 05:59:54,42341326607568,35745726181835,CELL-2824,+91653882592,+91021998878,SMS-MT,1315,926,-66
2025-02-26 23:24:11,43480946643765,35960818474893,CELL-5400,+91324665292,+91763954894,MOC,1550,985,-51
2025-02-25 17:46:57,43648356848709,35961106495590,CELL-1900,+91578391406,+91097984922,MTC,306,485,-70
2025-02-21 06:31:23,44535689447151,35063035727899,CELL-4969,+91245955091,+91024312680,MOC,1546,001,-119
2025-02-22 15:40:41,43646527883088,35291517987480,CELL-2135,+91802465414,+91818150466,MTC,1319,965,-110
2025-02-27 03:39:03,47775754486124,35449754394264,CELL-8476,+91216969270,+91406352454,SMS-MT,622,612,-69
2025-02-21 05:11:51,40797888601616,35685357871471,CELL-2265,+91654422532,+91766154194,MTC,682,425,-108
2025-02-26 02:55:02,44700526054343,35201532534833,CELL-0603,+91832980052,+91406337455,MTC,1020,178,-87
2025-02-24 00:42:36,40797888601616,35047264367118,CELL-6498,+91287906366,+91830566338,SMS-MT,1528,286,-72
2025-02-23 14:10:55,40797888601616,35068288827583,CELL-8443,+91762152170,+91578391406,MOC,319,537,-93
2025-02-27 02:30:38,47974704880021,35698914462149,CELL-2824,+91320272093,+91733635245,SMS-MO,1606,524,-81
2025-02-24 22:16:24,40260079342617,35737068477000,CELL-7820,+91820233464,+91114539458,SMS-MT,240,247,-87
2025-02-23 20:05:54,45447945510613,35817920871088,CELL-2993,+91390936670,+91748220113,SMS-MT,146,544,-95
2025-02-22 04:53:42,40322911370852,35986717339885,CELL-8473,+91390936670,+91484526782,MTC,971,678,-89
2025-02-24 20:45:44,46026226962663,35745726181835,CELL-6801,+91395259677,+91763954894,SMS-MT,933,303,-120
2025-02-23 02:59:25,42221022041458,35685357871471,CELL-5703,+91866464005,+91754099162,SMS-MT,780,829,-105
2025-02-27 08:17:16,40797888601616,35990580425649,CELL-8443,+91846209995,+91119441350,MTC,1094,069,-109
2025-02-23 11:46:57,49751600792329,35817261615714,CELL-8473,+91550699229,+91407086698,MTC,590,754,-79
2025-02-24 17:45:00,40074538948554,35185929962348,CELL-2824,+91324665292,+91169082411,MTC,1181,786,-71
2025-02-25 19:48:59,46729608446575,35063035727899,CELL-5400,+91135015963,+91237339747,SMS-MT,247,850,-71
2025-02-24 07:51:13,43370517990547,35941659627979,CELL-1900,+91250264599,+91832980052,SMS-MO,698,546,-56
2025-02-25 15:01:14,49418986515284,35620405877629,CELL-4969,+91312598109,+91866464005,MTC,1030,422,-79
2025-02-26 11:10:56,45447945510613,35689775580058,CELL-7820,+91497105822,+91713827680,SMS-MT,1354,686,-83
2025-02-20 21:29:40,47166881033751,35554512462827,CELL-5400,+91406337455,+91324665292,MTC,464,521,-96
2025-02-22 08:40:36,43906576784794,35291517987480,CELL-8476,+91441159533,+91597276967,MTC,1300,140,-116
2025-02-27 19:32:37,49418986515284,35862639249477,CELL-2135,+91320272093,+91304542653,MOC,475,885,-119
2025-02-24 03:20:43,40407504387502,35766536758776,CELL-5703,+91402783843,+91406352454,SMS-MT,331,768,-91
