source_number,destination_number,timestamp,duration,cell_tower_id,call_type,call_status,Phone Number,Error,Country,Carrier,Line Type,Anomaly
91798315670,91312630315,2025-02-12 08:38:36,143,TOWER-2447,outbound,failed,91798315670,Invalid number,,,,True
91863592639,91486069790,2025-02-17 15:33:03,457,TOWER-7250,inbound,missed,91863592639,Invalid number,,,,True
91874870631,91938739661,2025-02-17 16:36:37,1036,TOWER-8962,inbound,failed,91874870631,Invalid number,,,,True
91431650287,91232045117,2025-02-03 18:53:57,1256,TOWER-9799,outbound,failed,91431650287,Invalid number,,,,True
91948226685,91151262274,2025-02-09 17:51:23,1735,TOWER-9804,inbound,completed,91948226685,Invalid number,,,,True
91863592639,91637146915,2025-02-01 14:08:44,50,TOWER-2646,inbound,failed,91863592639,Invalid number,,,,True
91325719509,91603411815,2025-02-22 04:46:31,1113,TOWER-0343,outbound,failed,91325719509,Invalid number,,,,True
91912359223,91784109986,2025-02-19 03:16:30,1130,TOWER-7836,outbound,completed,91912359223,Invalid number,,,,True
91734094973,91846491188,2025-02-16 21:07:07,490,TOWER-2664,outbound,completed,91734094973,Invalid number,,,,True
91180537454,91188956017,2025-02-27 07:56:05,891,TOWER-4475,inbound,busy,91180537454,Invalid number,,,,True
91074779691,91911794680,2025-02-03 21:38:32,894,TOWER-4475,inbound,completed,91074779691,Invalid number,,,,True
91382987465,91912268086,2025-01-31 09:49:58,100,TOWER-7250,outbound,completed,91382987465,Invalid number,,,,True
91549474292,91162676380,2025-02-13 05:42:55,454,TOWER-4475,outbound,failed,91549474292,Invalid number,,,,True
91242410971,91729711560,2025-02-05 19:04:05,1452,TOWER-2447,inbound,missed,91242410971,Invalid number,,,,True
91874870631,91362942518,2025-02-06 16:22:18,452,TOWER-0343,inbound,failed,91874870631,Invalid number,,,,True
91746734449,91312630315,2025-02-11 04:33:20,247,TOWER-8962,outbound,completed,91746734449,Invalid number,,,,True
91734094973,91869192714,2025-02-23 00:36:58,1179,TOWER-2664,inbound,busy,91734094973,Invalid number,,,,True
91746734449,91428812855,2025-02-06 15:05:54,1695,TOWER-2646,outbound,missed,91746734449,Invalid number,,,,True
91527891532,91151262274,2025-02-02 14:19:15,441,TOWER-0343,inbound,failed,91527891532,Invalid number,,,,True
91948226685,91188956017,2025-02-27 04:35:16,66,TOWER-2447,outbound,completed,91948226685,Invalid number,,,,True
91152956886,91711691478,2025-01-30 16:00:27,1566,TOWER-7250,inbound,missed,91152956886,,India (Republic of),,special_services,True
91863592639,91060061130,2025-02-27 08:20:42,157,TOWER-8680,outbound,completed,91863592639,Invalid number,,,,True
91874870631,91922352744,2025-02-19 18:33:27,623,TOWER-9799,outbound,missed,91874870631,Invalid number,,,,True
91446159772,91499685553,2025-02-02 21:09:17,242,TOWER-8436,outbound,missed,91446159772,Invalid number,,,,True
91325719509,91551570251,2025-02-19 11:09:15,1009,TOWER-9799,outbound,busy,91325719509,Invalid number,,,,True
91863592639,91618066388,2025-01-28 22:02:05,226,TOWER-8436,outbound,failed,91863592639,Invalid number,,,,True
91874870631,91324401966,2025-02-22 17:44:26,570,TOWER-9799,outbound,completed,91874870631,Invalid number,,,,True
91152956886,91313900839,2025-02-17 21:08:13,745,TOWER-2558,outbound,missed,91152956886,,India (Republic of),,special_services,True
91768278949,91869192714,2025-02-11 01:10:24,276,TOWER-2664,outbound,completed,91768278949,Invalid number,,,,True
91576792380,91964479475,2025-02-14 22:00:01,1434,TOWER-0709,inbound,completed,91576792380,Invalid number,,,,True
91331845717,91261767154,2025-02-07 04:06:38,141,TOWER-2664,inbound,busy,91331845717,Invalid number,,,,True
91242410971,91910369500,2025-02-20 06:37:39,1791,TOWER-4475,outbound,completed,91242410971,Invalid number,,,,True
91016664108,91109818804,2025-02-19 14:03:22,11,TOWER-2664,inbound,busy,91016664108,Invalid number,,,,True
91451563883,91774310980,2025-02-11 13:15:28,464,TOWER-9804,inbound,busy,91451563883,Invalid number,,,,True
91242410971,91356901943,2025-02-14 21:41:57,362,TOWER-3368,inbound,missed,91242410971,Invalid number,,,,True
91382987465,91940585790,2025-02-14 03:28:17,161,TOWER-3368,inbound,busy,91382987465,Invalid number,,,,True
91591058627,91479713237,2025-02-24 01:15:13,323,TOWER-2558,outbound,busy,91591058627,Invalid number,,,,True
91528247840,91875297870,2025-02-22 12:08:20,373,TOWER-7252,outbound,busy,91528247840,Invalid number,,,,True
91050290071,91843877383,2025-02-08 23:49:36,1416,TOWER-9804,outbound,failed,91050290071,Invalid number,,,,True
91446159772,91180620389,2025-02-03 15:01:48,1086,TOWER-6743,inbound,missed,91446159772,Invalid number,,,,True
91746734449,91941577339,2025-02-26 12:39:40,321,TOWER-2447,inbound,busy,91746734449,Invalid number,,,,True
91576792380,91992982642,2025-02-17 17:35:48,1795,TOWER-4475,outbound,failed,91576792380,Invalid number,,,,True
91078503364,91968002102,2025-02-27 11:05:32,931,TOWER-2447,outbound,completed,91078503364,Invalid number,,,,True
91446159772,91755286330,2025-02-16 05:18:37,1526,TOWER-2646,outbound,busy,91446159772,Invalid number,,,,True
91823971039,91551570251,2025-02-16 00:10:58,207,TOWER-9804,outbound,missed,91823971039,Invalid number,,,,True
91863592639,91311282257,2025-02-02 16:02:43,191,TOWER-2447,outbound,failed,91863592639,Invalid number,,,,True
91242410971,91515903215,2025-02-27 00:19:45,1337,TOWER-8680,outbound,busy,91242410971,Invalid number,,,,True
91768278949,91813786686,2025-02-27 08:04:44,755,TOWER-2646,outbound,completed,91768278949,Invalid number,,,,True
91549474292,91846491188,2025-02-10 00:59:28,270,TOWER-7836,inbound,failed,91549474292,Invalid number,,,,True
91691578554,91038762030,2025-02-26 09:23:32,324,TOWER-2878,inbound,failed,91691578554,Invalid number,,,,True
91702398682,91362942518,2025-02-23 14:12:44,978,TOWER-6743,outbound,busy,91702398682,Invalid number,,,,True
91050290071,91685618913,2025-02-09 09:30:24,1170,TOWER-7252,outbound,missed,91050290071,Invalid number,,,,True
91691578554,91700660589,2025-02-07 03:07:58,844,TOWER-3368,inbound,missed,91691578554,Invalid number,,,,True
91768278949,91408768087,2025-02-21 18:43:28,790,TOWER-2646,inbound,failed,91768278949,Invalid number,,,,True
91527891532,91685618913,2025-02-08 10:32:43,36,TOWER-2447,outbound,missed,91527891532,Invalid number,,,,True
91912359223,91424031237,2025-01-29 00:56:08,1178,TOWER-2447,outbound,missed,91912359223,Invalid number,,,,True
91382987465,91008493749,2025-02-05 13:30:26,738,TOWER-7250,outbound,busy,91382987465,Invalid number,,,,True
91706093439,91938739661,2025-02-23 03:31:41,1778,TOWER-7836,inbound,completed,91706093439,Invalid number,,,,True
91431650287,91180620389,2025-02-20 22:01:18,871,TOWER-8962,inbound,failed,91431650287,Invalid number,,,,True
91845820336,91846491188,2025-02-01 08:44:31,1690,TOWER-6743,outbound,busy,91845820336,Invalid number,,,,True
91591058627,91474062984,2025-01-31 02:46:33,1344,TOWER-4475,inbound,busy,91591058627,Invalid number,,,,True
91163187366,91362942518,2025-02-01 22:14:07,549,TOWER-7250,inbound,failed,91163187366,,India (Republic of),,special_services,True
91674140661,91134114040,2025-02-16 07:25:22,148,TOWER-4475,inbound,failed,91674140661,Invalid number,,,,True
91016664108,91869192714,2025-01-29 16:34:32,329,TOWER-9804,outbound,failed,91016664108,Invalid number,,,,True
91674140661,91030893175,2025-02-11 02:37:38,320,TOWER-2878,inbound,missed,91674140661,Invalid number,,,,True
91691578554,91188956017,2025-02-26 19:48:27,228,TOWER-8962,outbound,busy,91691578554,Invalid number,,,,True
91242410971,91938739661,2025-01-31 17:01:37,521,TOWER-9804,outbound,failed,91242410971,Invalid number,,,,True
91180537454,91312630315,2025-02-15 10:28:01,1560,TOWER-9804,outbound,completed,91180537454,Invalid number,,,,True
91242410971,91869192714,2025-02-06 14:01:24,1183,TOWER-8680,inbound,missed,91242410971,Invalid number,,,,True
91691578554,91499685553,2025-02-02 01:38:48,1444,TOWER-2646,outbound,completed,91691578554,Invalid number,,,,True
91180537454,91940585790,2025-02-24 01:25:08,873,TOWER-0709,inbound,busy,91180537454,Invalid number,,,,True
91863592639,91134114040,2025-02-02 20:40:29,117,TOWER-7250,inbound,missed,91863592639,Invalid number,,,,True
91152956886,91618066388,2025-02-03 12:28:08,322,TOWER-8745,outbound,busy,91152956886,,India (Republic of),,special_services,True
91955764011,91977781126,2025-02-25 17:06:22,759,TOWER-2878,outbound,busy,91955764011,Invalid number,,,,True
91472692306,91013666000,2025-02-23 13:31:34,485,TOWER-8680,inbound,completed,91472692306,Invalid number,,,,True
91957135257,91258299691,2025-02-13 05:30:59,766,TOWER-0709,inbound,missed,91957135257,Invalid number,,,,True
91232251077,91020818905,2025-02-01 14:25:25,688,TOWER-2878,outbound,completed,91232251077,Invalid number,,,,True
91431650287,91002023437,2025-02-25 21:36:17,1619,TOWER-9799,outbound,completed,91431650287,Invalid number,,,,True
91152956886,91088262760,2025-02-11 16:19:31,1269,TOWER-8680,outbound,busy,91152956886,,India (Republic of),,special_services,True
91734094973,91013666000,2025-02-15 05:39:51,1151,TOWER-8962,outbound,busy,91734094973,Invalid number,,,,True
91431650287,91603411815,2025-02-19 08:54:26,337,TOWER-6743,outbound,missed,91431650287,Invalid number,,,,True
91734094973,91182176017,2025-02-13 04:35:50,510,TOWER-2558,outbound,missed,91734094973,Invalid number,,,,True
91674140661,91843877383,2025-02-14 02:15:14,198,TOWER-4475,outbound,failed,91674140661,Invalid number,,,,True
91576792380,91843877383,2025-02-20 12:46:13,70,TOWER-7250,outbound,failed,91576792380,Invalid number,,,,True
91955764011,91755286330,2025-02-15 12:36:28,1763,TOWER-0343,inbound,completed,91955764011,Invalid number,,,,True
91869768137,91195698358,2025-02-09 18:50:47,1023,TOWER-8436,inbound,busy,91869768137,Invalid number,,,,True
91331845717,91950534019,2025-02-13 16:28:10,1311,TOWER-9799,inbound,missed,91331845717,Invalid number,,,,True
91912359223,91729711560,2025-02-14 09:40:30,115,TOWER-7836,inbound,busy,91912359223,Invalid number,,,,True
91367415202,91728462960,2025-02-01 19:19:36,1383,TOWER-6743,inbound,failed,91367415202,Invalid number,,,,True
91746734449,91258299691,2025-02-20 10:53:25,1674,TOWER-2878,outbound,missed,91746734449,Invalid number,,,,True
91676879970,91222681581,2025-02-19 08:39:21,278,TOWER-4475,inbound,busy,91676879970,Invalid number,,,,True
91691578554,91459965242,2025-02-13 09:16:27,776,TOWER-8436,inbound,busy,91691578554,Invalid number,,,,True
91549474292,91971575747,2025-02-25 10:16:17,235,TOWER-2558,outbound,missed,91549474292,Invalid number,,,,True
91242410971,91311282257,2025-02-26 20:49:32,918,TOWER-0709,inbound,failed,91242410971,Invalid number,,,,True
91746734449,91774310980,2025-02-06 02:26:11,1371,TOWER-4475,inbound,missed,91746734449,Invalid number,,,,True
91912359223,91312125957,2025-02-12 18:38:17,1797,TOWER-0343,inbound,busy,91912359223,Invalid number,,,,True
91528247840,91618066388,2025-02-12 23:58:28,1149,TOWER-9804,outbound,completed,91528247840,Invalid number,,,,True
91746734449,91992982642,2025-02-13 19:59:25,1488,TOWER-3368,outbound,completed,91746734449,Invalid number,,,,True
91944766690,91311282257,2025-02-17 23:40:15,815,TOWER-8745,inbound,completed,91944766690,Invalid number,,,,True
91242410971,91697647917,2025-02-25 00:03:02,1191,TOWER-8680,outbound,busy,91242410971,Invalid number,,,,True
91734094973,91160394347,2025-02-22 16:47:16,431,TOWER-0343,inbound,completed,91734094973,Invalid number,,,,True
91957135257,91324401966,2025-02-16 05:08:43,1262,TOWER-8745,outbound,missed,91957135257,Invalid number,,,,True
91674140661,91728462960,2025-02-20 14:13:50,1376,TOWER-2646,inbound,busy,91674140661,Invalid number,,,,True
91074779691,91471602512,2025-02-26 21:06:46,886,TOWER-7252,inbound,failed,91074779691,Invalid number,,,,True
91010423766,91312630315,2025-02-24 22:08:55,17,TOWER-8962,outbound,completed,91010423766,Invalid number,,,,True
91451563883,91107373761,2025-02-11 15:21:25,1597,TOWER-8745,inbound,completed,91451563883,Invalid number,,,,True
91451563883,91088262760,2025-01-30 20:35:13,1079,TOWER-8680,outbound,failed,91451563883,Invalid number,,,,True
91768278949,91992982642,2025-02-26 14:02:00,1325,TOWER-8436,outbound,missed,91768278949,Invalid number,,,,True
91118265307,91151262274,2025-02-04 23:25:05,169,TOWER-2447,outbound,completed,91118265307,,India (Republic of),,special_services,True
91866579349,91166448397,2025-02-03 06:11:52,245,TOWER-8436,outbound,missed,91866579349,Invalid number,,,,True
91955764011,91912268086,2025-02-06 20:15:05,546,TOWER-4475,inbound,missed,91955764011,Invalid number,,,,True
91472692306,91060061130,2025-02-05 09:14:31,763,TOWER-0343,outbound,completed,91472692306,Invalid number,,,,True
91367415202,91312125957,2025-02-08 14:38:50,302,TOWER-8436,outbound,failed,91367415202,Invalid number,,,,True
91016664108,91151262274,2025-01-31 10:54:23,324,TOWER-9804,inbound,failed,91016664108,Invalid number,,,,True
91866579349,91082297503,2025-02-12 20:40:33,1712,TOWER-9804,inbound,failed,91866579349,Invalid number,,,,True
91798315670,91968002102,2025-02-03 11:30:35,918,TOWER-8436,outbound,missed,91798315670,Invalid number,,,,True
91768278949,91362942518,2025-02-19 01:00:44,1646,TOWER-0343,inbound,missed,91768278949,Invalid number,,,,True
91232251077,91911794680,2025-02-22 06:26:36,1059,TOWER-8962,inbound,busy,91232251077,Invalid number,,,,True
91955764011,91324401966,2025-02-09 23:19:59,353,TOWER-8680,outbound,missed,91955764011,Invalid number,,,,True
91382987465,91182176017,2025-02-09 22:33:43,676,TOWER-7250,inbound,completed,91382987465,Invalid number,,,,True
91702398682,91312630315,2025-02-15 17:59:49,1387,TOWER-8962,inbound,completed,91702398682,Invalid number,,,,True
91866579349,91888047832,2025-01-29 23:37:48,70,TOWER-9799,inbound,completed,91866579349,Invalid number,,,,True
91472692306,91911794680,2025-02-12 03:49:05,573,TOWER-7836,outbound,completed,91472692306,Invalid number,,,,True
91118265307,91428812855,2025-02-25 11:11:15,1307,TOWER-2558,outbound,busy,91118265307,,India (Republic of),,special_services,True
91957135257,91940585790,2025-02-16 00:26:18,1228,TOWER-2447,inbound,busy,91957135257,Invalid number,,,,True
91554696347,91107373761,2025-01-29 00:23:07,1033,TOWER-0416,outbound,completed,91554696347,Invalid number,,,,True
91242410971,91226801915,2025-02-25 10:21:07,291,TOWER-6743,outbound,failed,91242410971,Invalid number,,,,True
91554696347,91941577339,2025-02-13 16:27:11,798,TOWER-6743,inbound,failed,91554696347,Invalid number,,,,True
91451563883,91971575747,2025-02-27 14:38:37,1774,TOWER-2664,outbound,failed,91451563883,Invalid number,,,,True
91180537454,91226801915,2025-02-15 01:05:51,1666,TOWER-2447,inbound,failed,91180537454,Invalid number,,,,True
91874870631,91232045117,2025-02-27 05:49:50,213,TOWER-9804,outbound,busy,91874870631,Invalid number,,,,True
91676879970,91100852361,2025-02-03 01:47:15,279,TOWER-9804,inbound,completed,91676879970,Invalid number,,,,True
91691578554,91323059333,2025-02-05 01:53:59,294,TOWER-8680,outbound,busy,91691578554,Invalid number,,,,True
91451563883,91107373761,2025-02-07 12:47:59,405,TOWER-0709,inbound,busy,91451563883,Invalid number,,,,True
91074779691,91175306339,2025-01-28 23:37:12,287,TOWER-0343,inbound,busy,91074779691,Invalid number,,,,True
91242410971,91278174520,2025-02-04 09:19:38,339,TOWER-2664,inbound,completed,91242410971,Invalid number,,,,True
91768278949,91459965242,2025-01-29 11:14:27,1333,TOWER-8745,outbound,completed,91768278949,Invalid number,,,,True
91554696347,91729711560,2025-02-25 18:06:21,1467,TOWER-8680,inbound,missed,91554696347,Invalid number,,,,True
91485229393,91941577339,2025-02-19 01:01:00,795,TOWER-2558,outbound,busy,91485229393,Invalid number,,,,True
91180537454,91082297503,2025-02-09 02:38:04,296,TOWER-2664,outbound,completed,91180537454,Invalid number,,,,True
91446159772,91408768087,2025-02-26 22:20:02,641,TOWER-9804,inbound,failed,91446159772,Invalid number,,,,True
91485229393,91013666000,2025-02-25 16:06:44,657,TOWER-9799,outbound,missed,91485229393,Invalid number,,,,True
91746734449,91637146915,2025-02-11 04:16:15,1700,TOWER-8745,outbound,completed,91746734449,Invalid number,,,,True
91864467366,91038762030,2025-02-18 18:37:21,108,TOWER-8680,outbound,failed,91864467366,Invalid number,,,,True
91706093439,91486069790,2025-02-01 17:07:10,1537,TOWER-2878,inbound,failed,91706093439,Invalid number,,,,True
91527891532,91008493749,2025-02-25 23:04:12,1479,TOWER-0709,outbound,completed,91527891532,Invalid number,,,,True
91869768137,91324401966,2025-02-23 22:31:03,1169,TOWER-2646,inbound,missed,91869768137,Invalid number,,,,True
91702398682,91162676380,2025-02-23 21:03:46,590,TOWER-2558,outbound,busy,91702398682,Invalid number,,,,True
91446159772,91869192714,2025-02-20 16:24:12,1107,TOWER-8680,outbound,missed,91446159772,Invalid number,,,,True
91768278949,91843877383,2025-02-17 01:43:17,159,TOWER-0416,inbound,failed,91768278949,Invalid number,,,,True
91446159772,91992982642,2025-02-24 21:47:56,540,TOWER-0416,inbound,missed,91446159772,Invalid number,,,,True
91912359223,91474062984,2025-02-01 20:18:07,1454,TOWER-6743,outbound,completed,91912359223,Invalid number,,,,True
91163187366,91057249236,2025-01-31 05:53:28,306,TOWER-3368,inbound,busy,91163187366,,India (Republic of),,special_services,True
91823971039,91941577339,2025-02-03 10:31:36,1042,TOWER-4475,inbound,busy,91823971039,Invalid number,,,,True
91325719509,91362942518,2025-01-29 15:57:08,1420,TOWER-9804,outbound,busy,91325719509,Invalid number,,,,True
91118265307,91515903215,2025-02-22 07:51:14,498,TOWER-0343,inbound,busy,91118265307,,India (Republic of),,special_services,True
91863592639,91353551452,2025-02-18 02:57:14,1544,TOWER-8436,outbound,busy,91863592639,Invalid number,,,,True
91864467366,91784109986,2025-02-01 17:07:12,678,TOWER-8436,outbound,busy,91864467366,Invalid number,,,,True
91874870631,91312630315,2025-02-25 14:48:19,783,TOWER-7836,outbound,busy,91874870631,Invalid number,,,,True
91979454762,91443615369,2025-02-24 18:54:49,1304,TOWER-8962,outbound,missed,91979454762,Invalid number,,,,True
91331845717,91323059333,2025-02-14 06:38:55,1793,TOWER-7836,inbound,failed,91331845717,Invalid number,,,,True
91163187366,91088262760,2025-02-04 14:36:21,518,TOWER-8962,inbound,failed,91163187366,,India (Republic of),,special_services,True
91382987465,91551570251,2025-01-29 07:53:08,1447,TOWER-0709,outbound,missed,91382987465,Invalid number,,,,True
91382987465,91268564657,2025-02-23 03:49:00,676,TOWER-8745,inbound,completed,91382987465,Invalid number,,,,True
91232251077,91843877383,2025-01-31 17:00:16,132,TOWER-8680,inbound,missed,91232251077,Invalid number,,,,True
91074779691,91843877383,2025-02-02 13:21:04,463,TOWER-9799,outbound,completed,91074779691,Invalid number,,,,True
91823971039,91260979439,2025-02-12 01:32:22,1677,TOWER-8436,outbound,missed,91823971039,Invalid number,,,,True
91768278949,91971575747,2025-02-22 11:23:04,183,TOWER-3368,outbound,completed,91768278949,Invalid number,,,,True
91798315670,91313900839,2025-01-30 21:48:29,1107,TOWER-8680,inbound,completed,91798315670,Invalid number,,,,True
91869768137,91700660589,2025-02-03 21:37:09,1010,TOWER-2664,outbound,completed,91869768137,Invalid number,,,,True
91746734449,91941577339,2025-02-11 14:10:30,389,TOWER-7252,inbound,busy,91746734449,Invalid number,,,,True
91152956886,91175306339,2025-02-24 04:37:45,1479,TOWER-9804,outbound,completed,91152956886,,India (Republic of),,special_services,True
91152956886,91670511456,2025-01-30 08:24:12,441,TOWER-8436,inbound,failed,91152956886,,India (Republic of),,special_services,True
91957135257,91261767154,2025-01-30 03:22:20,1262,TOWER-2664,inbound,busy,91957135257,Invalid number,,,,True
91367415202,91551570251,2025-02-08 15:47:18,434,TOWER-2447,outbound,missed,91367415202,Invalid number,,,,True
91382987465,91670511456,2025-02-09 03:36:12,1372,TOWER-2558,outbound,missed,91382987465,Invalid number,,,,True
91472692306,91729711560,2025-02-20 04:31:59,1489,TOWER-2447,inbound,missed,91472692306,Invalid number,,,,True
91676478817,91188956017,2025-02-07 00:11:07,603,TOWER-9799,inbound,completed,91676478817,Invalid number,,,,True
91285560473,91258299691,2025-02-06 09:43:19,297,TOWER-2447,inbound,missed,91285560473,Invalid number,,,,True
91912359223,91670511456,2025-02-12 23:11:10,253,TOWER-2447,inbound,failed,91912359223,Invalid number,,,,True
91163187366,91506139251,2025-02-16 18:30:44,1343,TOWER-0416,inbound,failed,91163187366,,India (Republic of),,special_services,True
91798315670,91697647917,2025-02-15 12:30:59,355,TOWER-0709,outbound,missed,91798315670,Invalid number,,,,True
91554696347,91242131879,2025-01-29 01:53:35,500,TOWER-8745,outbound,completed,91554696347,Invalid number,,,,True
91078503364,91551570251,2025-02-11 15:00:58,1546,TOWER-7836,inbound,completed,91078503364,Invalid number,,,,True
91232251077,91195698358,2025-02-21 08:38:13,1319,TOWER-6743,inbound,busy,91232251077,Invalid number,,,,True
91118265307,91643206484,2025-02-17 23:15:18,372,TOWER-8962,inbound,busy,91118265307,,India (Republic of),,special_services,True
91874870631,91603411815,2025-02-07 20:42:40,1789,TOWER-2878,outbound,busy,91874870631,Invalid number,,,,True
91944766690,91971575747,2025-02-21 19:42:54,1418,TOWER-0343,outbound,failed,91944766690,Invalid number,,,,True
91549474292,91408768087,2025-02-23 23:11:02,1207,TOWER-2878,outbound,failed,91549474292,Invalid number,,,,True
91948226685,91008493749,2025-02-03 13:49:37,1774,TOWER-0416,outbound,completed,91948226685,Invalid number,,,,True
91242410971,91977781126,2025-01-31 19:17:12,113,TOWER-2878,outbound,busy,91242410971,Invalid number,,,,True
91451563883,91188956017,2025-02-05 15:45:39,715,TOWER-2646,inbound,missed,91451563883,Invalid number,,,,True
91866579349,91323059333,2025-02-13 12:38:04,1209,TOWER-0416,outbound,completed,91866579349,Invalid number,,,,True
91367415202,91729711560,2025-02-14 00:29:00,981,TOWER-8745,inbound,failed,91367415202,Invalid number,,,,True
91451563883,91843877383,2025-02-21 12:31:25,1205,TOWER-9804,outbound,busy,91451563883,Invalid number,,,,True
91325719509,91311282257,2025-02-26 14:13:52,1134,TOWER-4475,outbound,missed,91325719509,Invalid number,,,,True
91768278949,91992982642,2025-02-16 16:44:41,1459,TOWER-0709,inbound,missed,91768278949,Invalid number,,,,True
91367415202,91846491188,2025-01-31 08:32:32,240,TOWER-4475,inbound,busy,91367415202,Invalid number,,,,True
